day,living,mort.rate
0,1203646,0
1,1083715,0.0014
2,996221,0.004
3,1203646,0.0051
4,1203639,0.0064
5,1174906,0.0075
6,1203646,0.0098
7,960695,0.0123
8,1115380,0.0164
9,1094581,0.0218
10,1191722,0.0298
11,1171956,0.0379
12,1189686,0.0452
13,1138553,0.0589
14,900062,0.0634
15,984278,0.0722
16,786673,0.0757
17,814834,0.0793
18,829267,0.0826
19,553344,0.085
20,568342,0.0923
21,687138,0.0968
22,431201,0.1002
23,393895,0.1059
24,359783,0.1102
25,337358,0.1158
26,408999,0.1299
27,305896,0.1336
28,357871,0.1361
29,320746,0.128
30,242399,0.1213
31,171118,0.1214
32,159044,0.1168
33,74091,0.1241
34,151271,0.125
35,55868,0.1266
36,148820,0.1224
37,76750,0.1338
38,51575,0.1154
39,104729,0.1249
40,39421,0.1212
41,20735,0.1279
42,82155,0.1301
43,8,0.1366
44,18151,0.1439
45,935,0.136
46,2,0.1306
47,93,0.1361
48,43352,0.1452
49,19854,0.1338
50,158801,0.1515
51,10364,0.136
52,81317,0.1456
53,32577,0.1501
54,72113,0.1326
55,15824,0.1603
56,40544,0.1605
57,56581,0.1581
58,57563,0.1672
59,2,0.1601
60,7429,0.1316
61,82264,0.1309
62,16303,0.125
63,64,0.1341
64,3,0.1413
65,1284,0.1685
66,83,0.122
67,1,0.1363
68,36724,0.1047
69,27,0.1257
70,87894,0.0798
71,16475,0.1193
72,13206,0.1207
73,1385,0.1092
74,6091,0.1038
75,3040,0.0912
76,24601,0.1274
77,15649,0.0664
78,17192,0.0806
79,1758,0.067
80,14937,0.0663
81,181,0.0769
82,169,0.0897
83,156,0.0845
84,142,0.0615
85,130,0.0574
86,122,0.0522
87,115,0.1009
88,109,0.0714
89,98,0
90,91,0.0549
91,91,0.0116
92,86,0.0706
93,85,0.0759
94,79,0.0274
95,73,0.0563
96,71,0.0149
97,67,0.0152
98,66,0.0462
99,65,0
100,62,0
101,62,0
102,62,0.0645
103,62,0.0172
104,58,0.0351
105,57,0.0182
106,55,0.0185
107,54,0
108,53,0.0189
109,53,0.0192
110,52,0.0392
111,51,0.0408
112,49,0.0426
113,47,0.0444
114,45,0.0233
115,43,0.0476
116,42,0
117,40,0
118,40,0
119,40,0.025
120,40,0.0513
121,39,0.027
122,37,0.0833
123,36,0
124,33,0.0606
125,33,0.0968
126,31,0.1071
127,28,0.04
128,25,0.0417
129,24,0.087
130,23,0
131,21,0
132,21,0.0476
133,21,0
134,20,0
135,20,0
136,20,0.05
137,20,0
138,19,0
139,19,0
140,19,0
141,19,0.1053
142,19,0.0588
143,17,0.125
144,16,0
145,14,0.1429
146,14,0.0833
147,12,0.0909
148,11,0.1
149,10,0
150,9,0.1111
151,9,0
152,8,0
153,8,0.125
154,8,0.1429
155,7,0.1667
156,6,0
157,5,0
158,5,0.2
159,5,0
160,4,0
161,4,0
162,4,0
163,4,0
164,4,0.5
165,4,0
166,2,0
167,2,0
168,2,0
169,2,0
170,2,0
171,2,1
